subject,target,mean,sd,method,db
24,7,0.438259484535511,0.0495108318421541,Euclidean,JASPAR2018_CORE
25,7,0.439286289317245,0.049153130332621,Euclidean,JASPAR2018_CORE
26,7,0.43670309260247,0.0497648351830477,Euclidean,JASPAR2018_CORE
27,7,0.438353761579127,0.0490209058213433,Euclidean,JASPAR2018_CORE
28,7,0.43725362880464,0.0476804964698742,Euclidean,JASPAR2018_CORE
29,7,0.435749536954039,0.0482217896040513,Euclidean,JASPAR2018_CORE
30,7,0.438849400361777,0.0498215790414179,Euclidean,JASPAR2018_CORE
5,8,0.463495626869264,0.0623583496395838,Euclidean,JASPAR2018_CORE
6,8,0.478162694714934,0.0592516676658264,Euclidean,JASPAR2018_CORE
7,8,0.468590071467267,0.0584512921685956,Euclidean,JASPAR2018_CORE
8,8,0.465579232647436,0.0773165257389295,Euclidean,JASPAR2018_CORE
9,8,0.45429132589725,0.0550681233182825,Euclidean,JASPAR2018_CORE
10,8,0.449121176460168,0.0575131668666527,Euclidean,JASPAR2018_CORE
11,8,0.447268130981424,0.0543588108375432,Euclidean,JASPAR2018_CORE
12,8,0.444900899484758,0.0554917169676929,Euclidean,JASPAR2018_CORE
13,8,0.440465574723812,0.0559244515899624,Euclidean,JASPAR2018_CORE
14,8,0.43792023459858,0.0551842351513312,Euclidean,JASPAR2018_CORE
15,8,0.436081039262324,0.0549349962400073,Euclidean,JASPAR2018_CORE
16,8,0.435594228511153,0.0540636302396236,Euclidean,JASPAR2018_CORE
17,8,0.432956715247925,0.0536621565596331,Euclidean,JASPAR2018_CORE
18,8,0.433231365951645,0.0534264858680573,Euclidean,JASPAR2018_CORE
19,8,0.431819012038736,0.053818281120217,Euclidean,JASPAR2018_CORE
20,8,0.430083055095405,0.0545886036675173,Euclidean,JASPAR2018_CORE
21,8,0.429637930763106,0.0549195442153016,Euclidean,JASPAR2018_CORE
22,8,0.426649869170223,0.0547407795603321,Euclidean,JASPAR2018_CORE
23,8,0.42552581715115,0.0535678323189345,Euclidean,JASPAR2018_CORE
24,8,0.425666918092828,0.0539678215773456,Euclidean,JASPAR2018_CORE
25,8,0.425981023453477,0.0547588810588,Euclidean,JASPAR2018_CORE
26,8,0.423192095753824,0.0543198269806149,Euclidean,JASPAR2018_CORE
27,8,0.424009730811054,0.0540387944366203,Euclidean,JASPAR2018_CORE
28,8,0.423132526358813,0.0536773198059782,Euclidean,JASPAR2018_CORE
29,8,0.421753900389059,0.0529498714286905,Euclidean,JASPAR2018_CORE
30,8,0.422756799834441,0.0525664828316911,Euclidean,JASPAR2018_CORE
5,9,0.393268956058788,0.0739294686987611,Euclidean,JASPAR2018_CORE
6,9,0.418257662787324,0.0673678068216723,Euclidean,JASPAR2018_CORE
7,9,0.413279612443466,0.0650570046237347,Euclidean,JASPAR2018_CORE
8,9,0.408391734859428,0.063826090670349,Euclidean,JASPAR2018_CORE
9,9,0.403748134634682,0.0767745952535524,Euclidean,JASPAR2018_CORE
10,9,0.399545549206591,0.0620304355391295,Euclidean,JASPAR2018_CORE
11,9,0.395821735143643,0.0618799868424221,Euclidean,JASPAR2018_CORE
12,9,0.394617274523045,0.0628796558991166,Euclidean,JASPAR2018_CORE
13,9,0.391034402642876,0.0612035716795766,Euclidean,JASPAR2018_CORE
14,9,0.389671227724772,0.0618007827015125,Euclidean,JASPAR2018_CORE
15,9,0.388028822545949,0.0615080048844757,Euclidean,JASPAR2018_CORE
16,9,0.387429563939182,0.0616846469582463,Euclidean,JASPAR2018_CORE
17,9,0.384379649743871,0.0612340760232423,Euclidean,JASPAR2018_CORE
18,9,0.385014400115427,0.0616257970854789,Euclidean,JASPAR2018_CORE
19,9,0.383088444689862,0.0601788765716755,Euclidean,JASPAR2018_CORE
20,9,0.38259067777205,0.0602873762872414,Euclidean,JASPAR2018_CORE
21,9,0.382420980651998,0.0603977205827947,Euclidean,JASPAR2018_CORE
22,9,0.378707128244689,0.0601748414861633,Euclidean,JASPAR2018_CORE
23,9,0.379304284923571,0.0581498396358364,Euclidean,JASPAR2018_CORE
24,9,0.378939812958666,0.0593664604358633,Euclidean,JASPAR2018_CORE
25,9,0.379078266595143,0.0596890610232948,Euclidean,JASPAR2018_CORE
26,9,0.378629432048087,0.0594966009533443,Euclidean,JASPAR2018_CORE
27,9,0.377549514489665,0.0596390247459066,Euclidean,JASPAR2018_CORE
28,9,0.37765920317517,0.0591559042768771,Euclidean,JASPAR2018_CORE
29,9,0.376979002973227,0.059280033374402,Euclidean,JASPAR2018_CORE
30,9,0.376787920210917,0.0602853852651814,Euclidean,JASPAR2018_CORE
5,10,0.388094331180512,0.0680018306237169,Euclidean,JASPAR2018_CORE
6,10,0.413260145467889,0.0611002311374797,Euclidean,JASPAR2018_CORE
7,10,0.40898394119577,0.0587895863527919,Euclidean,JASPAR2018_CORE
8,10,0.404713235516662,0.0586690030007536,Euclidean,JASPAR2018_CORE
9,10,0.400195548581292,0.0580532033472657,Euclidean,JASPAR2018_CORE
10,10,0.398202547650784,0.0666096920037789,Euclidean,JASPAR2018_CORE
11,10,0.393558315305558,0.0556189167575669,Euclidean,JASPAR2018_CORE
12,10,0.391713886648676,0.0571063383400755,Euclidean,JASPAR2018_CORE
13,10,0.387797074851561,0.0564700466327384,Euclidean,JASPAR2018_CORE
14,10,0.386437239135289,0.0560340007899055,Euclidean,JASPAR2018_CORE
15,10,0.385652236018458,0.0560408627567115,Euclidean,JASPAR2018_CORE
16,10,0.385572316425204,0.0552780927495276,Euclidean,JASPAR2018_CORE
17,10,0.382810457561607,0.055525504327691,Euclidean,JASPAR2018_CORE
18,10,0.384197022105407,0.0558400226009196,Euclidean,JASPAR2018_CORE
19,10,0.38115198398148,0.0549105565980933,Euclidean,JASPAR2018_CORE
20,10,0.380350870694514,0.0553833930653169,Euclidean,JASPAR2018_CORE
21,10,0.378965453202427,0.0567696044707588,Euclidean,JASPAR2018_CORE
22,10,0.37752102267992,0.0548521256925257,Euclidean,JASPAR2018_CORE
23,10,0.377705816248795,0.0542523479707269,Euclidean,JASPAR2018_CORE
24,10,0.376769017621959,0.0546822260172853,Euclidean,JASPAR2018_CORE
25,10,0.375989975420119,0.0550048262817997,Euclidean,JASPAR2018_CORE
26,10,0.376049776874825,0.055733897314692,Euclidean,JASPAR2018_CORE
27,10,0.375478640710107,0.0548129596263702,Euclidean,JASPAR2018_CORE
28,10,0.375380658959415,0.0548916244325428,Euclidean,JASPAR2018_CORE
29,10,0.374473083822984,0.0542952223016758,Euclidean,JASPAR2018_CORE
30,10,0.375156392720751,0.0550572739832652,Euclidean,JASPAR2018_CORE
5,11,0.376346190698275,0.0607338981804426,Euclidean,JASPAR2018_CORE
6,11,0.403690424093926,0.0538592543973644,Euclidean,JASPAR2018_CORE
7,11,0.401265349208591,0.0532766693833325,Euclidean,JASPAR2018_CORE
8,11,0.399991460271975,0.0509531871953441,Euclidean,JASPAR2018_CORE
9,11,0.396286703544185,0.0503198576225032,Euclidean,JASPAR2018_CORE
10,11,0.394878098640582,0.0494019338221748,Euclidean,JASPAR2018_CORE
11,11,0.395718386425368,0.0551691731371766,Euclidean,JASPAR2018_CORE
12,11,0.391593550431093,0.0492324994750372,Euclidean,JASPAR2018_CORE
13,11,0.38957259555895,0.0483034178577703,Euclidean,JASPAR2018_CORE
14,11,0.389079305774406,0.0481788762465639,Euclidean,JASPAR2018_CORE
15,11,0.389166643399853,0.0470146155846547,Euclidean,JASPAR2018_CORE
16,11,0.387635827517583,0.0468658174614586,Euclidean,JASPAR2018_CORE
17,11,0.385755471820012,0.0472812270417564,Euclidean,JASPAR2018_CORE
18,11,0.386950354831997,0.0468101528141389,Euclidean,JASPAR2018_CORE
19,11,0.386072437453752,0.045873921432941,Euclidean,JASPAR2018_CORE
20,11,0.384751869450986,0.0459514420386777,Euclidean,JASPAR2018_CORE
21,11,0.385091461218168,0.0465006220224697,Euclidean,JASPAR2018_CORE
22,11,0.381556386807653,0.0465611834364524,Euclidean,JASPAR2018_CORE
23,11,0.383148010798106,0.0450616343667977,Euclidean,JASPAR2018_CORE
24,11,0.383428951121508,0.0449727632315332,Euclidean,JASPAR2018_CORE
25,11,0.382152894146717,0.0448178199664153,Euclidean,JASPAR2018_CORE
26,11,0.382283701211653,0.0442970337002423,Euclidean,JASPAR2018_CORE
27,11,0.381239546562775,0.0449300297057519,Euclidean,JASPAR2018_CORE
28,11,0.381886580114604,0.0447494453245613,Euclidean,JASPAR2018_CORE
29,11,0.382147191930493,0.0439164262944813,Euclidean,JASPAR2018_CORE
30,11,0.38148011741449,0.045481379499085,Euclidean,JASPAR2018_CORE
5,12,0.381370533765576,0.0734546086140095,Euclidean,JASPAR2018_CORE
6,12,0.405077219426795,0.0657177292511104,Euclidean,JASPAR2018_CORE
7,12,0.403667486528546,0.0660067733522083,Euclidean,JASPAR2018_CORE
8,12,0.40109265908778,0.0649580333588206,Euclidean,JASPAR2018_CORE
9,12,0.398628361555071,0.0658630748418088,Euclidean,JASPAR2018_CORE
10,12,0.398792115677526,0.0639764169354528,Euclidean,JASPAR2018_CORE
